NAME,B01003_001E,B11005_001E,B11005_002E,B11005_012E,B11005_017E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,state,county,tract
"Census Tract 5306.03, Summit County, Ohio",4613.0,2125.0,593.0,368.0,1164.0,354.0,3552.0,377.0,402.0,355.0,640.0,704.0,445.0,168.0,461.0,39,153,530603
"Census Tract 5306.04, Summit County, Ohio",3216.0,1341.0,326.0,603.0,412.0,223.0,2496.0,262.0,280.0,214.0,170.0,333.0,384.0,137.0,716.0,39,153,530604
"Census Tract 5306.05, Summit County, Ohio",5047.0,2214.0,633.0,654.0,927.0,334.0,3862.0,527.0,243.0,447.0,536.0,544.0,290.0,192.0,1083.0,39,153,530605
"Census Tract 5306.06, Summit County, Ohio",5615.0,2194.0,796.0,932.0,466.0,286.0,4326.0,677.0,273.0,472.0,593.0,390.0,551.0,170.0,1200.0,39,153,530606
"Census Tract 5307, Summit County, Ohio",2496.0,958.0,222.0,501.0,235.0,147.0,1994.0,307.0,131.0,179.0,176.0,173.0,293.0,170.0,565.0,39,153,530700
"Census Tract 5308, Summit County, Ohio",6343.0,2613.0,570.0,1168.0,875.0,459.0,4968.0,779.0,275.0,904.0,511.0,856.0,562.0,230.0,851.0,39,153,530800
"Census Tract 5309.01, Summit County, Ohio",4167.0,1946.0,394.0,723.0,829.0,269.0,3298.0,386.0,421.0,508.0,340.0,570.0,441.0,117.0,515.0,39,153,530901
"Census Tract 5309.02, Summit County, Ohio",7030.0,2733.0,665.0,1091.0,977.0,535.0,5541.0,1121.0,372.0,815.0,727.0,764.0,516.0,371.0,855.0,39,153,530902
"Census Tract 5309.03, Summit County, Ohio",4842.0,1754.0,658.0,770.0,326.0,427.0,3508.0,384.0,351.0,455.0,476.0,588.0,385.0,220.0,649.0,39,153,530903
"Census Tract 5310.01, Summit County, Ohio",3479.0,1337.0,394.0,532.0,411.0,298.0,2542.0,371.0,166.0,379.0,354.0,507.0,319.0,214.0,232.0,39,153,531001
"Census Tract 5310.02, Summit County, Ohio",6267.0,2649.0,710.0,1052.0,887.0,712.0,4539.0,895.0,376.0,1157.0,594.0,682.0,320.0,251.0,264.0,39,153,531002
"Census Tract 5311.01, Summit County, Ohio",3153.0,1281.0,342.0,548.0,391.0,234.0,2371.0,316.0,496.0,291.0,237.0,497.0,257.0,120.0,157.0,39,153,531101
"Census Tract 5311.02, Summit County, Ohio",3978.0,1586.0,413.0,747.0,426.0,519.0,3013.0,487.0,229.0,358.0,262.0,567.0,370.0,185.0,555.0,39,153,531102
"Census Tract 5311.03, Summit County, Ohio",3076.0,1342.0,294.0,584.0,464.0,217.0,2457.0,364.0,156.0,419.0,312.0,606.0,265.0,86.0,249.0,39,153,531103
"Census Tract 5314.05, Summit County, Ohio",4696.0,1831.0,595.0,608.0,628.0,369.0,3229.0,452.0,253.0,464.0,384.0,421.0,516.0,110.0,629.0,39,153,531405
"Census Tract 5314.06, Summit County, Ohio",4968.0,1859.0,665.0,606.0,588.0,397.0,3348.0,311.0,300.0,503.0,425.0,500.0,379.0,132.0,798.0,39,153,531406
"Census Tract 5314.07, Summit County, Ohio",2614.0,1040.0,320.0,381.0,339.0,209.0,1934.0,310.0,121.0,175.0,169.0,315.0,254.0,111.0,479.0,39,153,531407
"Census Tract 5315.01, Summit County, Ohio",3714.0,1398.0,396.0,519.0,483.0,288.0,2849.0,586.0,237.0,461.0,248.0,255.0,360.0,139.0,563.0,39,153,531501
"Census Tract 1711.02, Cuyahoga County, Ohio",4047.0,1904.0,397.0,676.0,831.0,332.0,3030.0,517.0,350.0,386.0,598.0,436.0,443.0,96.0,204.0,39,035,171102
"Census Tract 1711.03, Cuyahoga County, Ohio",2906.0,1318.0,348.0,421.0,549.0,264.0,2111.0,500.0,223.0,326.0,347.0,311.0,142.0,120.0,142.0,39,035,171103
"Census Tract 1711.04, Cuyahoga County, Ohio",5119.0,1987.0,744.0,484.0,759.0,569.0,3179.0,545.0,194.0,811.0,351.0,617.0,295.0,60.0,306.0,39,035,171104
"Census Tract 1712.03, Cuyahoga County, Ohio",3388.0,1469.0,416.0,369.0,684.0,276.0,2617.0,583.0,297.0,369.0,531.0,388.0,253.0,143.0,53.0,39,035,171203
"Census Tract 1712.04, Cuyahoga County, Ohio",2091.0,821.0,249.0,283.0,289.0,105.0,1494.0,362.0,147.0,209.0,206.0,373.0,91.0,82.0,24.0,39,035,171204
"Census Tract 1712.05, Cuyahoga County, Ohio",2551.0,1287.0,274.0,440.0,573.0,281.0,1986.0,121.0,188.0,446.0,382.0,506.0,120.0,117.0,106.0,39,035,171205
"Census Tract 1712.06, Cuyahoga County, Ohio",2076.0,1023.0,268.0,321.0,434.0,299.0,1486.0,187.0,40.0,317.0,377.0,257.0,222.0,49.0,37.0,39,035,171206
"Census Tract 1721.01, Cuyahoga County, Ohio",2390.0,998.0,335.0,320.0,343.0,138.0,1770.0,298.0,234.0,183.0,283.0,282.0,211.0,103.0,176.0,39,035,172101
"Census Tract 1721.02, Cuyahoga County, Ohio",3045.0,1481.0,298.0,464.0,719.0,190.0,2408.0,262.0,165.0,445.0,338.0,419.0,302.0,185.0,292.0,39,035,172102
"Census Tract 1721.04, Cuyahoga County, Ohio",1549.0,779.0,280.0,154.0,345.0,167.0,1098.0,126.0,59.0,126.0,169.0,194.0,64.0,71.0,289.0,39,035,172104
"Census Tract 1721.05, Cuyahoga County, Ohio",3603.0,2023.0,359.0,404.0,1260.0,126.0,2972.0,347.0,284.0,532.0,755.0,287.0,540.0,58.0,169.0,39,035,172105
"Census Tract 1722.01, Cuyahoga County, Ohio",3593.0,1572.0,401.0,496.0,675.0,171.0,2704.0,356.0,146.0,641.0,316.0,401.0,392.0,153.0,299.0,39,035,172201
"Census Tract 1722.02, Cuyahoga County, Ohio",4406.0,2348.0,645.0,469.0,1234.0,418.0,3170.0,304.0,286.0,362.0,490.0,576.0,392.0,191.0,569.0,39,035,172202
"Census Tract 1731.03, Cuyahoga County, Ohio",2701.0,1327.0,219.0,411.0,697.0,199.0,2244.0,284.0,206.0,266.0,367.0,361.0,284.0,75.0,401.0,39,035,173103
"Census Tract 1731.04, Cuyahoga County, Ohio",4158.0,1958.0,377.0,611.0,970.0,157.0,3455.0,469.0,369.0,487.0,364.0,404.0,488.0,316.0,558.0,39,035,173104
"Census Tract 1731.05, Cuyahoga County, Ohio",2188.0,893.0,178.0,478.0,237.0,187.0,1739.0,230.0,125.0,324.0,169.0,290.0,191.0,141.0,269.0,39,035,173105
"Census Tract 1731.06, Cuyahoga County, Ohio",3812.0,1743.0,667.0,358.0,718.0,467.0,2649.0,170.0,147.0,353.0,390.0,332.0,274.0,366.0,617.0,39,035,173106
"Census Tract 1731.07, Cuyahoga County, Ohio",2655.0,1144.0,290.0,446.0,408.0,242.0,1982.0,199.0,199.0,424.0,95.0,311.0,289.0,160.0,305.0,39,035,173107
"Census Tract 1741.03, Cuyahoga County, Ohio",2573.0,1137.0,174.0,446.0,517.0,253.0,2024.0,297.0,189.0,278.0,218.0,331.0,312.0,31.0,368.0,39,035,174103
"Census Tract 1741.04, Cuyahoga County, Ohio",2376.0,823.0,194.0,430.0,199.0,169.0,1880.0,344.0,271.0,268.0,241.0,155.0,163.0,135.0,303.0,39,035,174104
"Census Tract 1741.05, Cuyahoga County, Ohio",2879.0,1060.0,384.0,436.0,240.0,361.0,2007.0,466.0,97.0,190.0,148.0,271.0,199.0,86.0,550.0,39,035,174105
"Census Tract 1741.06, Cuyahoga County, Ohio",2718.0,1227.0,307.0,401.0,519.0,97.0,2102.0,231.0,180.0,184.0,230.0,469.0,176.0,142.0,490.0,39,035,174106
"Census Tract 1741.07, Cuyahoga County, Ohio",3863.0,1634.0,455.0,673.0,506.0,168.0,2981.0,516.0,173.0,397.0,395.0,364.0,370.0,168.0,598.0,39,035,174107
"Census Tract 1742.03, Cuyahoga County, Ohio",2612.0,1110.0,265.0,556.0,289.0,141.0,2148.0,274.0,112.0,330.0,257.0,367.0,229.0,81.0,498.0,39,035,174203
"Census Tract 1742.04, Cuyahoga County, Ohio",3681.0,1374.0,477.0,589.0,308.0,446.0,2703.0,253.0,204.0,300.0,340.0,454.0,519.0,153.0,480.0,39,035,174204
"Census Tract 1742.05, Cuyahoga County, Ohio",4951.0,2223.0,402.0,802.0,1019.0,431.0,3679.0,464.0,248.0,596.0,441.0,426.0,569.0,266.0,669.0,39,035,174205
"Census Tract 1742.06, Cuyahoga County, Ohio",2864.0,1122.0,376.0,383.0,363.0,330.0,1923.0,357.0,138.0,320.0,268.0,394.0,211.0,95.0,140.0,39,035,174206
"Census Tract 1742.07, Cuyahoga County, Ohio",3045.0,1231.0,315.0,426.0,490.0,255.0,2323.0,399.0,302.0,267.0,183.0,367.0,337.0,97.0,371.0,39,035,174207
"Census Tract 1751.05, Cuyahoga County, Ohio",4656.0,1803.0,521.0,901.0,381.0,397.0,3427.0,346.0,172.0,312.0,369.0,514.0,518.0,212.0,984.0,39,035,175105
"Census Tract 1751.06, Cuyahoga County, Ohio",2639.0,990.0,276.0,558.0,156.0,180.0,2126.0,283.0,193.0,192.0,168.0,412.0,241.0,135.0,502.0,39,035,175106
"Census Tract 1751.07, Cuyahoga County, Ohio",3460.0,1357.0,434.0,619.0,304.0,366.0,2497.0,197.0,172.0,352.0,276.0,354.0,353.0,132.0,661.0,39,035,175107
"Census Tract 1751.08, Cuyahoga County, Ohio",2644.0,1530.0,233.0,290.0,1007.0,169.0,2181.0,151.0,321.0,302.0,240.0,413.0,273.0,161.0,320.0,39,035,175108
