name,formatted_address,rating,user_ratings_total,latitude,longitude
Whole Foods Market,"1330 Smith Ave, Baltimore, MD 21209, United States",4.3,1606,39.3684185,-76.6498445
Whole Foods Market,"81 S Elliott Rd, Chapel Hill, NC 27514, United States",4.3,874,35.9344265,-79.0278974
Whole Foods Market,"429 N Broadway, Jericho, NY 11753, United States",4.3,1460,40.78902799999999,-73.5346026
Whole Foods Market,"2245 Springfield Ave, Vauxhall, NJ 07088, United States",4.4,2029,40.71678,-74.2869784
Whole Foods Market,"600 H St NE, Washington, DC 20002, United States",4.4,1448,38.9005142,-76.9976267
Whole Foods Market,"120 Veterans Memorial Hwy #34, Commack, NY 11725, United States",4.4,612,40.8380394,-73.2841625
Whole Foods Market,"66 Broadway, New York, NY 10005, United States",4.3,515,40.7071125,-74.0119287
Whole Foods Market,"20955 Stevens Creek Blvd, Cupertino, CA 95014, United States",4.4,2219,37.3235879,-122.0396177
Whole Foods Market,"1146 Blossom Hill Rd, San Jose, CA 95118, United States",4.4,1636,37.2491894,-121.8767183
Whole Foods Market,"774 Emerson St, Palo Alto, CA 94301, United States",4.3,1172,37.4421555,-122.1593417
Whole Foods Market,"415 Newport Center Dr, Newport Beach, CA 92660, United States",4.4,771,33.6166971,-117.8739511
Whole Foods Market,"5945 State Bridge Rd, Duluth, GA 30097, United States",4.3,1497,34.0130022,-84.18353499999999
Whole Foods Market,"1300 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144, United States",4.5,2195,33.997757,-84.5893286
Whole Foods Market,"1311 Johnson Ferry Rd #580, Marietta, GA 30068, United States",4.4,980,33.9809639,-84.4278519
Whole Foods Market,"3535 Northside Pkwy NW, Atlanta, GA 30327, United States",4.2,482,33.8502715,-84.4294955
Whole Foods Market,"1814 Gunbarrel Rd #100, Chattanooga, TN 37421, United States",4.4,473,35.0236688,-85.1560858
Whole Foods Market,"301 Manufacturers Rd, Chattanooga, TN 37405, United States",4.4,1149,35.0633539,-85.31418719999999
Whole Foods Market,"400 E Brooklyn Vlg Ave Unit A, Charlotte, NC 28202, United States",4.3,1199,35.2206033,-80.8462552
Whole Foods Market,"621 Broad St, Durham, NC 27705, United States",4.3,1749,36.0071057,-78.9206233
Whole Foods Market,"1933 NJ-35, Wall Township, NJ 07719, United States",4.3,1134,40.1545051,-74.05654899999999
Whole Foods Market,"740 N Moorpark Rd, Thousand Oaks, CA 91360, United States",4.2,676,34.187726,-118.8733339
Whole Foods Market,"283 Broadway St, Laguna Beach, CA 92651, United States",4.2,573,33.5438777,-117.783831
Whole Foods Market,"1111 S Washington St, Denver, CO 80210, United States",4.2,799,39.6958474,-104.9798158
Whole Foods Market,"2375 E 1st Ave, Denver, CO 80206, United States",4.2,1747,39.7185829,-104.9576861
Whole Foods Market,"4944 Shelbyville Rd, Louisville, KY 40207, United States",4.4,2361,38.248632,-85.6259816
Whole Foods Market,"4059 Finn Wy, Lexington-Fayette, KY 40517, United States",4.4,1305,37.97763279999999,-84.5286723
Whole Foods Market,"26 13th St NW, Atlanta, GA 30309, United States",4.7,3,33.7864559,-84.3879845
Whole Foods Market,"8710 Six Forks Rd, Raleigh, NC 27615, United States",4.3,1007,35.8994612,-78.65042319999999
Whole Foods Market,"1700 Duke St, Alexandria, VA 22314, United States",4.3,1756,38.8039989,-77.05979769999999
Whole Foods Market,"520 12th St S Ste 100, Arlington, VA 22202, United States",4.3,1972,38.8626628,-77.0546995
Whole Foods Market,"300 Towson Row, Towson, MD 21204, United States",4.3,457,39.398682,-76.6037185
Whole Foods Market,"11660 Plaza America Dr, Reston, VA 20190, United States",4.2,795,38.9517757,-77.3494016
Whole Foods Market,"7511 Leesburg Pike, Falls Church, VA 22043, United States",4.2,754,38.903168,-77.2047041
Whole Foods Market,"645 Middlesex Ave, Metuchen, NJ 08840, United States",4.4,1868,40.5401048,-74.36601689999999
Whole Foods Market,"3495 US-1, Princeton, NJ 08540, United States",4.3,1445,40.3082797,-74.6684594
Whole Foods Market,"1686 Boston Post Rd, Milford, CT 06460, United States",4.3,1029,41.2482781,-73.0253079
Whole Foods Market,"230 Bay Pl, Oakland, CA 94612, United States",4.2,2437,37.81276870000001,-122.2609981
Whole Foods Market,"911 Soquel Ave, Santa Cruz, CA 95062, United States",4.2,878,36.978945,-122.014572
Whole Foods Market,"1250 Jefferson Ave, Redwood City, CA 94062, United States",4.3,1406,37.4822223,-122.2316198
Whole Foods Market,"3761 State St, Santa Barbara, CA 93105, United States",4.1,857,34.4393044,-119.745409
Whole Foods Market,"23401 Civic Center Way, Malibu, CA 90265, United States",4.4,413,34.0381936,-118.685713
Whole Foods Market,"239 N Crescent Dr, Beverly Hills, CA 90210, United States",4.2,911,34.06937509999999,-118.3982071
Whole Foods Market,"3377 S La Cienega Blvd, Los Angeles, CA 90016, United States",4.4,391,34.0266994,-118.3722784
Whole Foods Market,"4520 Sepulveda Blvd, Sherman Oaks, CA 91403, United States",4.2,1016,34.1517127,-118.4666568
Whole Foods Market,"1425 Montana Ave, Santa Monica, CA 90403, United States",4.1,369,34.0328365,-118.4946313
Whole Foods Market,"14311 Ventura Blvd, Sherman Oaks, CA 91423, United States",4.4,658,34.1505237,-118.4449222
Whole Foods Market,"4451 Main St, Westminster, CO 80031, United States",4.3,1525,39.913434,-105.0446913
Whole Foods Market,"1131 E Wilmington Ave, Salt Lake City, UT 84106, United States",4.2,1269,40.7235327,-111.8586883
Whole Foods Market,"6384 Promenade Pkwy, Castle Rock, CO 80108, United States",4.3,601,39.4231199,-104.8772704
Whole Foods Market,"340 Reed St, Basalt, CO 81621, United States",4.2,566,39.3869354,-107.0826428
Whole Foods Market,"3425 N College Ave, Fayetteville, AR 72703, United States",4.3,1581,36.1135705,-94.146272
Whole Foods Market,"4021 Hillsboro Pike, Nashville, TN 37215, United States",4.4,1232,36.1031403,-86.8187272
Whole Foods Market,"6730 Papermill Dr NW, Knoxville, TN 37919, United States",4.3,1861,35.9330472,-84.015503
Whole Foods Market,"2693 Edmondson Rd, Cincinnati, OH 45209, United States",4.2,1185,39.14554589999999,-84.44704949999999
Whole Foods Market,"4 S Tunnel Rd # 100, Asheville, NC 28805, United States",4.3,1106,35.5824002,-82.5231311
Whole Foods Market,"7221 Waverly Walk Ave, Charlotte, NC 28277, United States",4.4,1168,35.0531552,-80.7673253
Whole Foods Market,"6610 Fairview Rd, Charlotte, NC 28210, United States",4.3,1189,35.1472366,-80.8300802
Whole Foods Market,"3540 Wade Ave, Raleigh, NC 27607, United States",4.3,1187,35.8024745,-78.6864071
Whole Foods Market,"1800 Laskin Rd, Virginia Beach, VA 23454, United States",4.4,2062,36.8505578,-76.028053
Whole Foods Market,"2024 W Broad St, Richmond, VA 23220, United States",4.4,1154,37.5582198,-77.4612542
Whole Foods Market,"7130 12th St NW, Washington, DC 20012, United States",4.5,136,38.9761352,-77.02811849999999
