B01003_001E,NAME,state,county,tract
1955,"Census Tract 54.20, Franklin County, Ohio",39,049,005420
4531,"Census Tract 55, Franklin County, Ohio",39,049,005500
1765,"Census Tract 56.10, Franklin County, Ohio",39,049,005610
1943,"Census Tract 56.20, Franklin County, Ohio",39,049,005620
3922,"Census Tract 57, Franklin County, Ohio",39,049,005700
3080,"Census Tract 58.10, Franklin County, Ohio",39,049,005810
2345,"Census Tract 58.20, Franklin County, Ohio",39,049,005820
2740,"Census Tract 59, Franklin County, Ohio",39,049,005900
2002,"Census Tract 60, Franklin County, Ohio",39,049,006000
2288,"Census Tract 61, Franklin County, Ohio",39,049,006100
6045,"Census Tract 62.36, Franklin County, Ohio",39,049,006236
6585,"Census Tract 62.37, Franklin County, Ohio",39,049,006237
1976,"Census Tract 62.38, Franklin County, Ohio",39,049,006238
6512,"Census Tract 62.39, Franklin County, Ohio",39,049,006239
3905,"Census Tract 62.40, Franklin County, Ohio",39,049,006240
8030,"Census Tract 62.41, Franklin County, Ohio",39,049,006241
2884,"Census Tract 63.01, Franklin County, Ohio",39,049,006301
4467,"Census Tract 63.02, Franklin County, Ohio",39,049,006302
4172,"Census Tract 63.10, Franklin County, Ohio",39,049,006310
4216,"Census Tract 63.21, Franklin County, Ohio",39,049,006321
3496,"Census Tract 63.23, Franklin County, Ohio",39,049,006323
