STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,unique_id,unique_id2,unique_id3,unique_id4,County,Concat_cou,Concat_c_1,Concat_c_2,Concat_c_3,Concat_c_4,Concat_c_5,Concat_c_6,Concat_c_7,Concat_c_8,Concat_c_9,Concat_c10,Concat_c11,Concat_c12,Concat_c13,Concat_c14,Concat_c15,Concat_c16,Concat_c17,Concat_c18,Concat_c19,Concat_c20,Concat_c21,Concat_c22,Concat_c23,Concat_c24,Concat_c25,Concat_c26,Concat_c27,TPop_Int,lat,long
"39","035","171205","39035171205","1712.05",Census Tract 1712.05,G5020,S,"1788878","0","+41.3987976","-081.5698293",035_171205,35_171205,,35_171205,Cuyahoga County,"Census Tract 1712.05, Cuyahoga County, Ohio","85","0","55","13","17","2154","79","158","990","355","257","248","67","1917","315","600","515","155","170","170","22","773","39","35","171205","2551",35_171205,"2551",41.398797,-81.569829
"39","035","172101","39035172101","1721.01",Census Tract 1721.01,G5020,S,"1278499","0","+41.5253833","-081.4681882",035_172101,35_172101,,35_172101,Cuyahoga County,"Census Tract 1721.01, Cuyahoga County, Ohio","131","13","73","38","7","1710","61","63","470","425","127","425","139","1586","564","336","335","159","335","332","71","583","39","35","172101","2390",35_172101,"2390",41.525383,-81.468188
"39","035","172201","39035172201","1722.01",Census Tract 1722.01,G5020,S,"2314272","0","+41.5150989","-081.4613473",035_172201,35_172201,,35_172201,Cuyahoga County,"Census Tract 1722.01, Cuyahoga County, Ohio","226","18","41","135","32","2524","124","94","731","696","195","423","261","2306","684","286","260","147","711","687","305","723","39","35","172201","3593",35_172201,"3593",41.515099,-81.461347
"39","035","172202","39035172202","1722.02",Census Tract 1722.02,G5020,S,"3845009","24687","+41.5086847","-081.4445567",035_172202,35_172202,,35_172202,Cuyahoga County,"Census Tract 1722.02, Cuyahoga County, Ohio","237","33","59","64","81","3267","49","103","704","526","350","1016","519","3115","1535","1310","1240","598","386","373","118","679","39","35","172202","4406",35_172202,"4406",41.508564,-81.449834
"39","035","174107","39035174107","1741.07",Census Tract 1741.07,G5020,S,"2130721","0","+41.4418553","-081.8840996",035_174107,35_174107,,35_174107,Cuyahoga County,"Census Tract 1741.07, Cuyahoga County, Ohio","299","30","24","197","48","2661","23","69","797","622","268","636","246","2569","882","458","458","182","326","310","123","1203","39","35","174107","3863",35_174107,"3863",41.441855,-81.884100
"39","153","507502","39153507502","5075.02",Census Tract 5075.02,G5020,S,"1561245","0","+41.1078286","-081.5171612",153_507502,153_507502,,153_507502,Summit County,"Census Tract 5075.02, Summit County, Ohio","345","141","70","134","0","3109","378","492","1049","390","329","365","106","2239","471","783","634","167","607","361","119","1273","39","153","507502","4953",153_507502,"4953",41.107829,-81.517161
"39","165","032006","39165032006","320.06",Census Tract 320.06,G5020,S,"3742711","0","+39.3018951","-084.2959295",165_032006,165_032006,,165_32006,Warren County,"Census Tract 320.06, Warren County, Ohio","415","19","151","115","130","3049","1","76","298","340","248","1457","629","2972","2086","731","693","562","618","618","430","1202","39","165","32006","4432",165_32006,"4432",39.301895,-84.295929
"39","035","106200","39035106200","1062",Census Tract 1062,G5020,S,"1038946","0","+41.4361687","-081.7241622",035_106200,35_106200,,35_106200,Cuyahoga County,"Census Tract 1062, Cuyahoga County, Ohio","358","203","37","70","48","2699","135","383","962","657","293","211","58","2181","269","601","532","48","590","544","58","952","39","35","106200","4063",35_106200,"4063",41.436169,-81.724162
"39","035","106600","39035106600","1066",Census Tract 1066,G5020,S,"1569870","0","+41.4254083","-081.7147682",035_106600,35_106600,,35_106600,Cuyahoga County,"Census Tract 1066, Cuyahoga County, Ohio","252","83","128","30","11","2225","139","210","882","399","233","212","150","1876","362","616","539","174","518","397","48","786","39","35","106600","3218",35_106600,"3218",41.425409,-81.714768
"39","035","106900","39035106900","1069",Census Tract 1069,G5020,S,"1269788","0","+41.4288584","-081.6925343",035_106900,35_106900,,35_106900,Cuyahoga County,"Census Tract 1069, Cuyahoga County, Ohio","433","13","115","207","98","2721","38","139","726","860","143","527","288","2544","815","654","654","190","438","385","186","1086","39","35","106900","3561",35_106900,"3561",41.428859,-81.692534
"39","035","174206","39035174206","1742.06",Census Tract 1742.06,G5020,S,"1519604","0","+41.4213209","-081.8957162",035_174206,35_174206,,35_174206,Cuyahoga County,"Census Tract 1742.06, Cuyahoga County, Ohio","141","22","25","66","28","1867","18","59","739","529","220","206","96","1790","302","494","476","93","369","369","83","738","39","35","174206","2864",35_174206,"2864",41.421321,-81.895716
"39","153","507501","39153507501","5075.01",Census Tract 5075.01,G5020,S,"4943996","0","+41.1254079","-081.5263791",153_507501,153_507501,,153_507501,Summit County,"Census Tract 5075.01, Summit County, Ohio","107","52","0","55","0","1582","132","176","622","133","87","361","71","1274","432","555","555","209","198","136","34","288","39","153","507501","2332",153_507501,"2332",41.125409,-81.526380
"39","035","105400","39035105400","1054",Census Tract 1054,G5020,S,"1054648","2694","+41.4517527","-081.7102571",035_105400,35_105400,,35_105400,Cuyahoga County,"Census Tract 1054, Cuyahoga County, Ohio","389","61","239","66","23","2100","145","242","766","569","119","179","80","1713","259","499","435","32","388","360","125","840","39","35","105400","3195",35_105400,"3195",41.451626,-81.710043
